"State";"Station code";"Station name";"Station setting";"Station type";"Annual mean value in µg/m³"
Brandenburg;DEBB112;Wildau;"suburban area";background;10
Saxony;DESN130;Liebschützberg;"rural secluded";background;8.2
Brandenburg;DEBB111;Elsterwerda;"urban area";background;11
"North Rhine-Westphalia";DENW405;Wesel-Obrighoven;"rural near town";background;10
Brandenburg;DEBB110;Dallgow-Döberitz;"suburban area";background;9.5
UBA;DEUB005;Waldhof;"rural area";background;7.3
Thuringia;DETH117;"Erfurt Bautzener Weg";"suburban area";background;9.1
Thuringia;DETH093;"Weimar Schwanseestr.";"urban area";background;9.1
Thuringia;DETH061;Hummelshain;"rural secluded";background;7.1
Thuringia;DETH041;"Jena Dammstr.";"urban area";background;9.1
Thuringia;DETH036;"Greiz Mollbergstr.";"urban area";background;10
Thuringia;DETH020;"Erfurt Krämpferstr.";"urban area";background;8.9
Thuringia;DETH018;Nordhausen;"urban area";background;9.5
Thuringia;DETH013;"Eisenach Werneburgstr.";"urban area";background;8.2
Thuringia;DETH011;"Altenburg Theaterplatz";"urban area";background;8.5
Thuringia;DETH005;Saalfeld;"urban area";background;10
Saxony-Anhalt;DEST104;"Domäne Bobbe";"rural area";background;9.8
Saxony-Anhalt;DEST098;"Unterharz / Friedrichsbrunn";"rural regional";background;6.3
Saxony-Anhalt;DEST077;Magdeburg/West;"urban area";background;9.6
Saxony-Anhalt;DEST050;Halle/Nord;"urban area";background;9.9
Saxony-Anhalt;DEST044;Halberstadt;"urban area";background;8.8
Saxony-Anhalt;DEST002;Burg;"suburban area";background;9.6
Saxony;DESN092;Dresden-Winckelmannstr.;"urban area";background;9.3
Saxony;DESN079;Niesky;"rural regional";background;9
Saxony;DESN059;Leipzig-West;"suburban area";background;8.3
Schleswig-Holstein;DESH058;Lauenburg-Murjahnstraße;"urban area";background;8
Schleswig-Holstein;DESH057;Kiel-Bremerskamp;"urban area";background;7
Schleswig-Holstein;DESH056;Eggebek;"rural regional";background;6.9
Schleswig-Holstein;DESH023;"Lübeck-St. Jürgen";"urban area";background;7.3
Schleswig-Holstein;DESH015;Itzehoe;"urban area";background;8.1
Schleswig-Holstein;DESH008;Bornhöved;"rural regional";background;6.8
Saarland;DESL012;Saarbrücken-City;"urban area";background;9.7
Rhineland-Palatinate;DERP053;Speyer-Nord;"suburban area";background;11
Rhineland-Palatinate;DERP028;Westerwald-Neuhäusel;"rural area";background;7.4
Rhineland-Palatinate;DERP022;"Bad Kreuznach-Bosenheimer Straße";"urban area";background;8.6
Rhineland-Palatinate;DERP019;Kaiserslautern-Rathausplatz;"urban area";background;8.7
Rhineland-Palatinate;DERP017;Pfälzerwald-Hortenkopf;"rural area";background;5.8
Rhineland-Palatinate;DERP009;Mainz-Zitadelle;"urban area";background;9.9
"North Rhine-Westphalia";DENW247;"Essen-Schuir (LANUV)";"suburban area";background;10
"North Rhine-Westphalia";DENW179;Schwerte;"urban area";background;8.8
"North Rhine-Westphalia";DENW114;Wuppertal-Langerfeld;"urban area";background;9.7
"North Rhine-Westphalia";DENW096;Mönchengladbach-Rheydt;"suburban area";background;9.2
"North Rhine-Westphalia";DENW095;Münster-Geist;"urban area";background;11
"North Rhine-Westphalia";DENW094;Aachen-Burtscheid;"urban area";background;8.4
"North Rhine-Westphalia";DENW081;Borken-Gemen;"rural near town";background;9.7
"North Rhine-Westphalia";DENW078;Ratingen-Tiefenbroich;"suburban area";background;8.9
"North Rhine-Westphalia";DENW071;Düsseldorf-Lörick;"urban area";background;9.7
"North Rhine-Westphalia";DENW068;Soest-Ost;"rural near town";background;10
"North Rhine-Westphalia";DENW067;Bielefeld-Ost;"urban area";background;11
"North Rhine-Westphalia";DENW066;Nettetal-Kaldenkirchen;"rural near town";background;9.9
"North Rhine-Westphalia";DENW065;"Netphen Rothaargebirge";"rural regional";background;6
"North Rhine-Westphalia";DENW064;"Simmerath (Eifel)";"rural regional";background;6.1
"North Rhine-Westphalia";DENW062;Bonn-Auerberg;"suburban area";background;8.7
"North Rhine-Westphalia";DENW053;Köln-Chorweiler;"urban area";background;10
"North Rhine-Westphalia";DENW038;Mülheim-Styrum;"urban area";background;11
"North Rhine-Westphalia";DENW024;Essen-Vogelheim;"urban area";background;12
"North Rhine-Westphalia";DENW022;Gelsenkirchen-Bismarck;"suburban area";background;13
"North Rhine-Westphalia";DENW010;Unna-Königsborn;"suburban area";background;11
"North Rhine-Westphalia";DENW008;Dortmund-Eving;"urban area";background;11
"North Rhine-Westphalia";DENW006;Lünen-Niederaden;"suburban area";background;10
"North Rhine-Westphalia";DENW002;Datteln-Hagem;"suburban area";background;12
"Lower Saxony";DENI060;Wendland;"rural area";background;8
"Lower Saxony";DENI054;Hannover;"urban area";background;8.4
"Lower Saxony";DENI043;Emsland;"suburban area";background;8.4
"Lower Saxony";DENI042;Göttingen;"suburban area";background;7.8
"Lower Saxony";DENI041;Weserbergland;"suburban area";background;8.6
"Lower Saxony";DENI038;Osnabrück;"urban area";background;8.6
"Lower Saxony";DENI031;Jadebusen;"rural area";background;8.3
"Lower Saxony";DENI016;Oker/Harlingerode;"suburban area";background;6.5
"Mecklenburg-West Pomerania";DEMV028;Wismar;"urban area";background;9.9
"Mecklenburg-West Pomerania";DEMV026;Garz;"rural area";background;8.6
"Mecklenburg-West Pomerania";DEMV024;Leizen;"rural area";background;8.7
"Mecklenburg-West Pomerania";DEMV021;Rostock-Warnemünde;"urban area";background;10
"Mecklenburg-West Pomerania";DEMV019;Güstrow;"urban area";background;9.6
"Mecklenburg-West Pomerania";DEMV012;Löcknitz;"rural area";background;10
"Mecklenburg-West Pomerania";DEMV004;Gülzow;"rural area";background;9.1
Hamburg;DEHH059;"Hamburg Wilhelmsburg";"urban area";background;10
Hamburg;DEHH008;"Hamburg Sternschanze";"urban area";background;9.7
Hesse;DEHE135;Frankfurt-Schwanheim;"suburban area";background;7.7
Hesse;DEHE134;"Fulda Zentral";"urban area";background;8
Hesse;DEHE046;"Bad Arolsen";"rural area";background;7.2
Hesse;DEHE044;Limburg;"urban area";background;8.8
Hesse;DEHE030;Marburg;"urban area";background;8.1
Hesse;DEHE022;"Wiesbaden Süd";"urban area";background;8.8
Hesse;DEHE018;Raunheim;"urban area";background;8.5
Hesse;DEHE013;"Kassel Mitte";"urban area";background;8.6
Hesse;DEHE008;"Frankfurt Ost";"urban area";background;10
Hesse;DEHE005;Frankfurt-Höchst;"urban area";background;9.3
Bremen;DEHB012;Bremen-Oslebshausen;"urban area";background;11
Bremen;DEHB005;Bremerhaven-Hansastraße;"urban area";background;9.3
Bremen;DEHB002;Bremen-Ost;"urban area";background;9.1
Bavaria;DEBY187;Oettingen/Goethestraße;"suburban area";background;9.6
Bavaria;DEBY124;"Burgbernheim/Grüne Au";"rural regional";background;9.4
Bavaria;DEBY118;Passau/Stelzhamerstraße;"urban area";background;11
Bavaria;DEBY109;Andechs/Rothenfeld;"rural regional";background;7.1
Bavaria;DEBY099;Augsburg/LfU;"suburban area";background;9.4
Bavaria;DEBY089;München/Johanneskirchen;"suburban area";background;8.9
Bavaria;DEBY088;Trostberg/Schwimmbadstraße;"suburban area";background;9.6
Bavaria;DEBY077;Würzburg/Kopfklinik;"suburban area";background;9.5
Bavaria;DEBY075;"Weiden i.d.OPf./Nikolaistraße";"urban area";background;11
Bavaria;DEBY072;Tiefenbach/Altenschneeberg;"rural regional";background;6
Bavaria;DEBY067;"Schwandorf/Wackersdorfer Straße";"suburban area";background;9.8
Bavaria;DEBY058;Nürnberg/Muggenhof;"urban area";background;12
Bavaria;DEBY052;Neu-Ulm/Gabelsbergerstraße;"urban area";background;10
Bavaria;DEBY049;"Neustadt a.d. Donau/Eining";"rural regional";background;9
Bavaria;DEBY039;München/Lothstraße;"urban area";background;9.1
Bavaria;DEBY031;"Kempten (Allgäu)/Westendstraße";"suburban area";background;8.9
Bavaria;DEBY013;Mehring/Sportplatz;"rural regional";background;9.4
Bavaria;DEBY012;"Burghausen/Marktler Straße";"suburban area";background;10
Bavaria;DEBY009;Bamberg/Löwenbrücke;"urban area";background;10
